Account ID,Account Name,Restaurant Street,Restaurant City/Suburb,Restaurant Postcode,Restaurant State,Country,Own Website
0019000001TPv9V,Kafir Lime Special Lunch Menu,"246 Oxford Street
Levin
Horowhenua District",Levin,5510,NZL,New Zealand,kaffirlimecafe.co.nz
0019000001TP0OD,Kaffir Lime Cafe Thai Cuisine,"246 Oxford Street
Levin, New Zealand",Levin,5510,NZL,New Zealand,kaffirlimecafe.co.nz
0019000001Y35WJ,Spizealand Indian Kitchen,"13 / 1 Marine Parade
Mt Maunganui
Tauranga",Mt Maunganui / Tauranga,3116,NZL,New Zealand,
0019000001UgT3D,Spice Traders Online Specials,"97 Victoria Road
Devonport",Devonport / Auckland,624,NZL,New Zealand,spicetraders.co.nz
0019000001WDw7U,Tandoori Pakwan Lunch Time Deliveries,"18-24 Allen Street, Te Aro
Wellington",Te Aro / Wellington,6011,NZL,New Zealand,tandooripakwan.nz
0019000001Ufvk8,Pizza King,"65 Main Street
Huntly
Waikato",Huntly / Waikato,3700,NZL,New Zealand,
0019000001UgTfA,Cafe Al - Madina,3/321 Karangahape Rd (K-Road),Auckland Central,1010,,New Zealand,
0019000001UiyUi,Curry Mehak Indian Takeaway & Delivery,"Cnr 381 Te-ngae Rd, 
Basley, Rotorua",Basley / Rotorua,3010,NZL,New Zealand,currymehak.co.nz
0019000001WDw4G,Tandoori Pakwan Dinner Deals,"18-24 Allen Street, Te Aro
Wellington",Te Aro / Wellington,6011,NZL,New Zealand,tandooripakwan.nz
0019000001WDOXA,Crave Coffee,"The Point
Broadway Street
Ngaruawahia, Waikato","Ngaruawahia, Waikato",3720,NZL,New Zealand,
0019000001Uh0Sm,Indian Taj Lunch Time Only,"109 High Street North
Carterton",Carterton / Wellington,0,NZL,New Zealand,
0019000001UiyUJ,Swad Online Specials,"9 Aviemore Dr, Highland Park, Auckland 2010",Highland Park / Auckland,2010,NZL,New Zealand,swad.co.nz
0019000001WEFoU,Mughlai MerCury,"2/248 Willis Street
Te Aro",Te Aro / Welington,6011,NZL,New Zealand,
0019000001UglPN,Celies Catering,516 Adelaide Road,Berhampore / Wellington,6023,NZL,New Zealand,
0019000001Ug3cO,Waihi Pizza Club,"3/47 Seddon Street
Waihi / Waikato",Waihi / Waikato,3610,Auckland,New Zealand,
0019000001UgR2u,Erawann Thai Authentic Thai Cuisine,"6/280 Richmond Road, 
Grey Lynn, Auckland",Grey Lynn / Auckland,1021,NZL,New Zealand,
0019000001UhEmJ,Star of India Takeaways & Deliveries,"276 Rangitikei St, Palmerston North Central, Manawatu-Wanganui",Palmerston North / Manawatu-Wanganui,4410,NZL,New Zealand,
0019000001WEFgz,Adulis Eritrean Ethiopian & African Cuisine,"6/100 Tory Street
Te Aro / Wellington",Te Aro / Wellington,6011,NZL,New Zealand,
0019000001UhPDi,Mint Catering,"400 Titirangi Road
Titirangi
Auckland",Titirangi / Auckland,604,NZL,New Zealand,
0019000001WEFs2,Mughlai Lunch Time Deliveries,"248 Willis Street
Te Aro",Te Aro / Welington,6011,NZL,New Zealand,
0019000001UhFRN,ShangHai Chinese Restaurant,"44 Horsham Downs Road, Rototuna, Hamilton",Rototuna / Hamilton,3216,NZL,New Zealand,
0019000001Ugkk5,Celies Waffle House & American Cuisine,"516 Adelaide Road
Berhampore",Berhampore / Wellington,6023,NZL,New Zealand,celiesnz.com
0019000001UiTZj,Demo Christchurch Test Venue,Moorhouse Avenue,Christchurch,0,NZL,New Zealand,
0019000001UiuDw,Taste of Raj Restaurant,"91 Jackson Street
Petone",Petone / Wellington,5012,NZL,New Zealand,tasteofraj.co.nz
0019000001Ug6lI,Heaven Woodfire Pizza,"247 Cuba Street 
Te Aro Wellington Central",Te Aro / Wellington,6011,NZL,New Zealand,heavenspizza.co.nz
0019000001Ugon8,Kashish Indian Cuisine.,"Church Street
Opotiki
Bay of Plenty",Opotiki / Eastern Bay of Plenty,3122,NZL,New Zealand,masonichotelopotiki.co.nz
0019000001Ug3RB,Waihi Pizza Club,"6 Main Road
Katikati",Katikati / Western bay of Plenty,3129,NZL,New Zealand,
0019000001Ugowt,Irish Bar & Restaurant,"Church Street
Opotiki
Bay of Plenty",Opotiki / Bay of Plenty,0,NZL,New Zealand,masonichotelopotiki.co.nz
0019000001WEAbw,Bird On A Wire - Free Range Rotisserie,"FORTIETH & HURSTMERE, 40 HURSTMERE ROAD, TAKAPUNA",Takapuna / Auckland,6022,NZL,New Zealand,birdonawire.co.nz
0019000001UiRuN,Demo Auckland Test Venue,1 Queen street,Auckland,0,NZL,New Zealand,
0019000001UfYUP,Curry Planet Indian Restaurant & Takeaway,"22 Hagley Street
Porirua",Porirua / Wellington,5022,NZL,New Zealand,curryplanet.co.nz
0019000001WDomk,Tandoori Pakwan Indian Restaurant,"18-24 Allen Street, Te Aro
Wellington",Te Aro / Wellington,6011,NZL,New Zealand,tandooripakwan.nz
0019000001UhPBI,Mint Indian Restaurant,"400 Titirangi Road
Titirangi
Auckland",Titirangi / Auckland,604,NZL,New Zealand,
0019000001UhGzD,The Flying Pizza,2/5 Maraetai School Road,Maraetai / Auckland,2018,NZL,New Zealand,theflyingpizza.co.nz
0019000001WDx9k,Ming Du Chinese Takeaways & Deliveries,"143  Karori Road
Karori",Karori / Wellington,6012,NZL,New Zealand,
0019000001UirIf,Nandos Takeaways & Deliveries,"Rialto Centre, 153-185 Broadway, Newmarket, Auckland",Newmarket / Auckland,1023,Auckland,New Zealand,
0019000001UijOi,Bolliwood Indian Restaurant,"8 Greenhithe Road
Auckland",Greenhithe / Auckland,632,NZL,New Zealand,bollowood.co.nz
0019000001WEAUa,Box of Bird - Auckland CBD - Elliot Street,"21/25 Elliot Street
Auckland CBD",Auckland,1010,NZL,New Zealand,birdonawire.co.nz
0019000001WDcY9,Papa Satay House,12 McMillan Court,Newlands / Wellington,6037,NZL,New Zealand,
0019000001WDc9H,Bolliwood Lunch Deliveries,8 Greenhithe Road,Greenhithe / Auckland,0,,New Zealand,bolliwood.co.nz
0019000001UiTHp,Demo Wellington Venue,Wakefield Street,Wellington,0,NZL,New Zealand,
0019000001UinGw,Punjab Grill,"101 Devon Street East 
New Plymouth",New Plymouth / Taranaki,4310,NZL,New Zealand,punjabgrill.co.nz
0019000001WDZxs,Invitation Indian Takeaway,114 Johnsonville Road,Johnsonville / Wellington,6037,NZL,New Zealand,
0019000001Y3UCA,Mad Mex North West Takeaways,"Shop 70, 1/7 Fred Taylor Dr, Westgate, Auckland, 0814",Westgate / Auckland,814,NZL,New Zealand,madmex.co.nz
0019000001Y3PrB,Chilli Masala,458 High Street,Lower Hutt,5010,NZL,New Zealand,chillimasala.co.nz
0019000001ZP9ou,Chilli Masala - Takeaway,458 High Street,Lower Hutt,5010,NZL,New Zealand,chillimasala.co.nz
0019000001NqQXs,Salt Catering,"A, 23 The Parade",Bucklands Beach,2014,Auckland,New Zealand,
0019000001NqQXt,Mad Mex - Botany Takeaways,"588 Chapel Road (Town Centre Drive, Botany Town Centre)",Botany,,Auckland,New Zealand,madmex.co.nz
0019000001NqQXy,Mad Mex - The Base,Corner of Te Rapa Road & Wairere Drive,Te Rapa,,Hamilton,New Zealand,madmex.co.nz
0019000001NqQXz,Mad Mex - Lambton Quay Takeaways,"0207, 174-186 Lambton Square Eatery",Lambton Quay (Wellington Central),,Wellington,New Zealand,madmex.co.nz
0019000001NqQY0,Mad Mex Albany Takeaways & Deliveries,"FO3, Level 2 Westfield Food Court, Civic Crescent, Westfield Albany",Albany,632,Auckland,New Zealand,madmex.co.nz
0019000001NqQY1,"Masala ""Catering for All Occasions"" - Botany",302 Te Irirangi Drive,Botany Junction,,Auckland,New Zealand,
0019000001NqQY3,Sai Touch Of Spice - Sockburn,"A, 161 Yaldhurst Road",Sockburn / Christchurch,8042,Cantebury,New Zealand,saitouchofspice.co.nz
0019000001NqQY4,Sai Touch Of Spice Takeaways & Deliveries,82 Barrington Street,Somerfield,8024,Christchurch,New Zealand,
0019000001WFnb0,Sai Touch of Spice Lunch Time Delivery,82 Barrington Street,Somerfield / Christchurch,8024,NZL,New Zealand,saitouchofspice.co.nz
0019000001XKwfi,Curry Pot Indian Restaurant & Takeaway,88 Riddiford Street,Newtown,6021,NZL,New Zealand,
0019000001XIbTm,Universal Foods,"Rialto Centre, 153-185 Broadway Street,
Newmarket, Auckland,
New Zealand",Newmarket / Auckland,1023,NZL,New Zealand,
0019000001WHLFe,Best Tandoori Cafe & Indian Takeaway,"46 Rangipawa Road, One Tree Hill, Auckland 1061",One Tree Hill / Auckland,1061,NZL,New Zealand,
0019000001WFnYk,Curry Delight Indian Restaurant,"139 Thames Street, Morrinsville 3300, New Zealand",Morrinsville / Waikato,3300,NZL,New Zealand,currydelight.co.nz
0019000001WFnv0,Curry Night Indian Takeaway,9 Humphreys Drive,Ferrymead / Christchurch,8023,NZL,New Zealand,
0019000001WFaAP,Bombay Tandoor Indian Takeaway,473 Papanui Road,Papanui / Christchurch,8053,NZL,New Zealand,bombaytandoor.co.nz
0019000001XJjq0,Love A Duck BBQ Cafe,"Northcote Town Centre, 2 Kilham Avenue, Northcote, Auckland",Northcote / Auckland,1024,NZL,New Zealand,
0019000001XJd06,Legianz Waroeng Indonesia,"Victoria Park Market, Unit 25, 210-218 Victoria Street West, Freemans Bay, Auckland 1010",Freemans Bay / Auckland,1010,NZL,New Zealand,waroenglegianz.co.nz
0019000001XJkNe,Love a Duck Chinese Takeaways & Deliveries,"302 Dominion Road, Mt Eden, Auckland",Mt Eden / Auckland,1024,NZL,New Zealand,
0019000001WFnkb,Lunch @ Curry Delight,111 Main Street Huntly Waikato,Huntly / Waikato,3700,NZL,New Zealand,
0019000001XJ6WK,Zara's Turkish Cafe (Arzum Cafe),199 Main Street,Upper Hutt,5018,NZL,New Zealand,zaras.co.nz
0019000001WFnd1,Curry Delight Indian Restaurant,111 Main Street Huntly Waikato,Huntly / Waikato,3700,NZL,New Zealand,currydelight.co.nz
0019000001WHNGA,Hello India,98 Church Street Opotiki,Opotiki / Bay of Plenty,3122,NZL,New Zealand,helloindia.co.nz
0019000001XIfxy,The Haveli $10.00 Dinner Deals,"237 KIng Street
Pukekohe
Auckland",Pukekohe / Auckland,2121,NZL,New Zealand,thehavili.co.nz
0019000001XJ719,Sushi Planet,"181 Main St, Upper Hutt",Wellington,5018,NZL,New Zealand,
0019000001WFnxy,Lunch @ Curry Night,9 Humphreys Drive,Ferrymead / Christchurch,8023,NZL,New Zealand,
0019000001WFa1h,Chilli Kiwi Thai Takeaways & Deliveries,"Shop 3, 479 Papanui Road, Papanui",Papanui / Christchurch,8053,NZL,New Zealand,
0019000001XJ3pZ,Sushi Monster,"723 High Street, Bloulcott, Lower Hutt",Wellington,5010,NZL,New Zealand,
0019000001WHMtM,Hello India,"26 Kensington Street, Putaruru (Inside The Food Court)",Putaruru / Waikato,3411,NZL,New Zealand,helloindia.co.nz
0019000001XK7b8,Indian Ocean Lunch Takeaway,23 Humphrey's Drive,Ferrymead / Christchurch,8023,NZL,New Zealand,
0019000001XK0RV,Tandoori Nights,"67 Ottawa Road, Ngaio",Wellington City,6035,NZL,New Zealand,tandoorinightsngaio.com
0019000001XIaJg,The Haveli Pukekohe,"237 KIng Street
Pukekohe
Auckland",Pukekohe / Auckland,2120,NZL,New Zealand,thehavali.co.nz
0019000001WFpHg,Indian Fendalton Takeaway & Delivery,"Fendalton Village, 10/250 Clyde Road",Fendalton / Christchurch,8023,NZL,New Zealand,indianfendalton.co.nz
0019000001WG2q1,BBQ Rib Runner Takeaway & Delivery,680 Barbadoes Street,St Albans/Christchurch,8013,NZL,New Zealand,ribrunner.co.nz
0019000001WHN08,Hello India,"76 Alpha St, Cambridge",Cambridge / Waikato,3134,NZL,New Zealand,helloindia.co.nz
0019000001WH6Us,Indian Ocean Takeaway & Delivery,"The Estuary, Shop 4B, 23 Humphreys Drive, Ferrymead",Ferrymead / Christchurch,8023,NZL,New Zealand,indianocean.co.nz
